"mpio","dep","pob","emplserv","mpionombre","depnombre","ind"
68370,68,57,3,"Jordán","Santander",5263.15789473684
68397,68,757,18,"La Paz","Santander",2377.8071334214
25436,25,1013,22,"Manta","Cundinamarca",2171.76702862784
85400,85,1702,32,"Támara","Casanare",1880.14101057579
5266,5,165891,3000,"Envigado","Antioquia",1808.41636978498
17442,17,1122,17,"Marmato","Caldas",1515.15151515152
68468,68,625,9,"Molagavita","Santander",1440
20310,20,1460,21,"González","Cesar",1438.35616438356
68101,68,1393,20,"Bolívar","Santander",1435.75017946877
15500,15,280,4,"Oicatá","Boyacá",1428.57142857143
8001,8,1106179,15534,"Barranquilla","Atlántico",1404.29351849927
52435,52,1477,20,"Mallama","Nariño",1354.096140826
68773,68,384,5,"Sucre","Santander",1302.08333333333
15808,15,408,5,"Tinjacá","Boyacá",1225.49019607843
27787,27,10277,121,"Tadó","Chocó",1177.38639680841
19418,19,4219,49,"López","Cauca",1161.41265702773
68368,68,797,9,"Jesús María","Santander",1129.23462986198
68425,68,267,3,"Macaravita","Santander",1123.59550561798
23001,23,286229,3132,"Montería","Córdoba",1094.22874691244
15317,15,550,6,"Guacamayas","Boyacá",1090.90909090909
13001,13,842581,9134,"Cartagena","Bolívar",1084.05007945824
68079,68,2503,27,"Barichara","Santander",1078.705553336
44035,44,8267,89,"Albania","La Guajira",1076.5694931656
15377,15,986,10,"Labranzagrande","Boyacá",1014.19878296146
52019,52,6453,65,"Albán","Nariño",1007.28343406168
97001,97,12937,130,"Mitú","Vaupés",1004.86975342042
68152,68,602,6,"Carcasí","Santander",996.677740863787
25175,25,72302,712,"Chía","Cundinamarca",984.758374595447
54670,54,1744,17,"San Calixto","Norte de Santander",974.770642201835
68500,68,4506,43,"Oiba","Santander",954.283177984909
27361,27,18018,171,"Istmina","Chocó",949.050949050949
15632,15,750,7,"Saboyá","Boyacá",933.333333333333
68217,68,647,6,"Coromoro","Santander",927.357032457496
25293,25,1854,17,"Gachala","Cundinamarca",916.936353829558
23162,23,46984,428,"Cereté","Córdoba",910.94840796867
23660,23,44818,408,"Sahagún","Córdoba",910.348520683654
19743,19,4009,35,"Silvia","Cauca",873.035669743078
68684,68,922,8,"San José de Miranda","Santander",867.67895878525
15212,15,698,6,"Coper","Boyacá",859.598853868195
27205,27,8745,75,"Condoto","Chocó",857.632933104631
76001,76,2027770,17304,"Cali","Valle del Cauca",853.35121833344
70001,70,217787,1856,"Sincelejo","Sucre",852.208809524903
15183,15,1784,15,"Chita","Boyacá",840.807174887892
68001,68,493922,4095,"Bucaramanga","Santander",829.078275517187
68344,68,725,6,"Hato","Santander",827.586206896552
15109,15,728,6,"Buenavista","Boyacá",824.175824175824
52210,52,1942,16,"Contadero","Nariño",823.89289392379
19001,19,225223,1854,"Popayán","Cauca",823.184133059235
52001,52,308665,2498,"Pasto","Nariño",809.291626844637
25299,25,628,5,"Gama","Cundinamarca",796.178343949045
15332,15,1264,10,"Güicán","Boyacá",791.139240506329
15774,15,907,7,"Susacón","Boyacá",771.775082690187
20001,20,293288,2228,"Valledupar","Cesar",759.662856986989
15367,15,1590,12,"Jenesano","Boyacá",754.716981132075
15810,15,932,7,"Tipacoque","Boyacá",751.072961373391
68755,68,20915,157,"Socorro","Santander",750.657422902223
5001,5,2171980,16285,"Medellín","Antioquia",749.776701442923
15533,15,405,3,"Paya","Boyacá",740.740740740741
15804,15,1497,11,"Tibaná","Boyacá",734.802939211757
19355,19,2182,16,"Inzá","Cauca",733.272227314391
68245,68,413,3,"El Guacamayo","Santander",726.392251815981
68020,68,414,3,"Albania","Santander",724.63768115942
25426,25,1390,10,"Macheta","Cundinamarca",719.424460431655
68298,68,417,3,"Gambita","Santander",719.424460431655
52356,52,73372,526,"Ipiales","Nariño",716.894728234204
25805,25,566,4,"Tibacuy","Cundinamarca",706.713780918728
15522,15,575,4,"Panqueba","Boyacá",695.652173913043
15676,15,432,3,"San Miguel de Sema","Boyacá",694.444444444444
68271,68,1297,9,"Florián","Santander",693.909020817271
68679,68,36235,251,"San Gil","Santander",692.700427763212
15494,15,1022,7,"Nuevo Colón","Boyacá",684.931506849315
15755,15,1074,7,"Socotá","Boyacá",651.769087523277
25372,25,775,5,"Junín","Cundinamarca",645.161290322581
5631,5,35341,226,"Sabaneta","Antioquia",639.483885571998
68549,68,945,6,"Pinchote","Santander",634.920634920635
15236,15,475,3,"Chivor","Boyacá",631.578947368421
85001,85,86496,546,"Yopal","Casanare",631.243063263041
19473,19,1585,10,"Morales","Cauca",630.914826498423
68502,68,1116,7,"Onzaga","Santander",627.240143369176
52418,52,5425,34,"Los Andes","Nariño",626.728110599078
15051,15,1766,11,"Arcabuco","Boyacá",622.876557191393
52720,52,1609,10,"Sapuyes","Nariño",621.504039776259
25224,25,1127,7,"Cucunubá","Cundinamarca",621.11801242236
19821,19,1619,10,"Toribio","Cauca",617.665225447807
52022,52,1785,11,"Aldana","Nariño",616.24649859944
54398,54,655,4,"La Playa","Norte de Santander",610.687022900763
23670,23,8733,53,"San Andrés Sotavento  ","Córdoba",606.893392877591
15798,15,1166,7,"Tenza","Boyacá",600.343053173242
52560,52,2005,12,"Potosí","Nariño",598.503740648379
